[2026-01-29 06:57:57] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":3470.61,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 06:58:42] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":3.06,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:01:52] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":0.91,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:01:58] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":0.68,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:02:02] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":0.57,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:02:52] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":1.53,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:02:56] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":1.46,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:50:28] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":2881.19,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:50:58] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":0.92,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:55:09] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":2.19,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:55:11] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":2.04,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 07:55:19] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":4.2,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 09:30:01] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":3516.8,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
[2026-01-29 09:30:25] [info] dashboard_load | IP: ::1 | User: 1f4ce157-b42e-46e8-a2be-8a7b44060e1f | URI: /training-management-system/pages/dashboard.php | Context: {"load_time_ms":1.04,"role":"admin","user_id":"1f4ce157-b42e-46e8-a2be-8a7b44060e1f"}
